,Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
4499,Toyota Fortuner 3.0 Diesel,2010,193254,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,266749650.0
4502,Audi Q7 3.0 TDI Quattro Premium Plus,2015,50000,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,7.0,975412500.0
4503,Honda City i VTEC CVT VX,2016,42666,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,183788250.0
4504,Renault Duster 110PS Diesel RxL,2013,65000,Diesel,Manual,Second,19.01 kmpl,1461 CC,108.45 bhp,5.0,112942500.0
4506,Honda Amaze S i-Vtech,2016,6714,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5.0,97541250.0
4508,Maruti Ritz LDi,2011,88539,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,77416950.0
4509,Honda City 1.5 S MT,2012,65055,Petrol,Manual,Second,17.0 kmpl,1497 CC,118 bhp,5.0,87273750.0
4520,Volkswagen Vento 1.5 TDI Highline,2016,62767,Diesel,Manual,First,20.34 kmpl,1498 CC,103.2 bhp,5.0,200216250.0
4525,Mahindra XUV500 W8 2WD,2012,95000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,148057350.0
4526,Toyota Innova 2.5 V Diesel 8-seater,2015,100000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,8.0,277222500.0
4531,Honda City 1.5 S MT,2011,125000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,66738750.0
4540,Volkswagen Polo Diesel Comfortline 1.2L,2010,84000,Diesel,Manual,Second,22.07 kmpl,1199 CC,73.9 bhp,5.0,59346150.0
4541,BMW 3 Series 320d,2011,51000,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5.0,215617500.0
4547,Honda Amaze S i-Dtech,2013,63000,Diesel,Manual,Second,25.8 kmpl,1498 CC,98.6 bhp,5.0,87273750.0
4548,Honda City i DTEC SV,2014,45000,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5.0,97541250.0
4550,Volkswagen Vento 1.5 TDI Highline,2015,58000,Diesel,Manual,First,20.34 kmpl,1498 CC,103.2 bhp,5.0,120129750.0
4551,BMW 5 Series 520d Luxury Line,2011,51602,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5.0,354639450.0
4553,Hyundai Creta 1.6 SX Plus Petrol Automatic,2017,25000,Petrol,Automatic,First,13.0 kmpl,1591 CC,121.3 bhp,5.0,261821250.0
4554,BMW 3 Series Luxury Line,2016,70000,Diesel,Automatic,Second,21.76 kmpl,1995 CC,190 bhp,5.0,554445000.0
4556,Maruti Swift Dzire VDI,2017,22000,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,163253250.0
4562,Maruti Alto 800 2016-2019 LXI,2016,61000,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5.0,59551500.0
4563,Maruti Wagon R VXI,2014,43628,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5.0,64890600.0
4565,Chevrolet Beat LT,2010,54000,Petrol,Manual,Second,17.8 kmpl,1199 CC,76.8 bhp,5.0,40043250.0
4566,Jaguar XF 2.2 Litre Luxury,2015,27001,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5.0,544588200.0
4568,Hyundai i20 Asta 1.4 CRDi,2012,80000,Diesel,Manual,First,21.27 kmpl,1396 CC,88.76 bhp,5.0,92407500.0
4574,Hyundai Creta 1.6 CRDi SX Option,2016,51000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,272088750.0
4576,Volkswagen Polo 1.5 TDI Highline,2015,80000,Diesel,Manual,First,20.14 kmpl,1498 CC,88.8 bhp,5.0,119103000.0
4578,Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,107000,Diesel,Manual,Second,12.99 kmpl,2494 CC,100.6 bhp,7.0,277222500.0
4580,Volkswagen Polo 1.5 TDI Highline,2016,59998,Diesel,Manual,First,20.14 kmpl,1498 CC,88.8 bhp,5.0,112737150.0
4582,Hyundai i20 1.2 Magna,2011,36000,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,51337500.0
4586,Hyundai Santro Xing GLS,2009,136642,Petrol,Manual,Second,17.92 kmpl,1086 CC,62.1 bhp,5.0,31829250.0
4587,Hyundai Santro Xing GLS,2011,60000,Petrol,Manual,First,17.92 kmpl,1086 CC,62.1 bhp,5.0,53185650.0
4590,Maruti Vitara Brezza ZDi,2017,45000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,200216250.0
4596,Honda City i DTEC VX,2014,76551,Diesel,Manual,First,25.1 kmpl,1498 CC,98.6 bhp,5.0,148878750.0
4598,Maruti Swift VDI BSIV,2015,45000,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,72899250.0
4605,Honda Amaze S i-Dtech,2014,61297,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,89327250.0
4607,Hyundai i20 Magna,2013,59000,Petrol,Manual,Second,18.5 kmpl,1197 CC,80 bhp,5.0,84193500.0
4609,Hyundai Creta 1.6 CRDi SX Option,2017,60083,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,282972300.0
4610,Maruti Swift Dzire LDI,2016,85450,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,82140000.0
4611,Maruti Swift VDI,2013,88000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,88916550.0
4616,Hyundai Grand i10 AT Asta,2015,46000,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5.0,104728500.0
4617,Hyundai Verna 1.6 SX CRDi (O),2013,48158,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,137584500.0
4622,Audi A4 2.0 TDI Multitronic,2015,13000,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5.0,472305000.0
4637,Renault KWID RXT,2016,25000,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5.0,78033000.0
4639,Hyundai EON D Lite Plus,2013,45010,Petrol,Manual,Second,21.1 kmpl,814 CC,55.2 bhp,5.0,60578250.0
4640,Honda Amaze VX i-DTEC,2013,75348,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,77006250.0
4641,Volkswagen Polo Diesel Highline 1.2L,2010,90110,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,51337500.0
4642,Honda City 1.5 V MT,2011,102013,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,77006250.0
4643,Toyota Fortuner 4x2 AT,2015,36000,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,451770000.0
4646,Maruti Celerio VXI AT,2014,46559,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5.0,77006250.0
4648,Jaguar XF 2.2 Litre Luxury,2013,46000,Diesel,Automatic,Second,16.36 kmpl,2179 CC,187.7 bhp,5.0,492840000.0
4650,BMW X1 sDrive20d,2012,85000,Diesel,Automatic,Third,17.05 kmpl,1995 CC,184 bhp,5.0,205350000.0
4654,Mahindra XUV500 W6 2WD,2012,110000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,147852000.0
4656,Hyundai Santro Xing GLS,2010,75000,Petrol,Manual,Second,17.92 kmpl,1086 CC,62.1 bhp,5.0,34909500.0
4662,Toyota Innova 2.5 G4 Diesel 8-seater,2005,128000,Diesel,Manual,Second,12.8 kmpl,2494 CC,102 bhp,8.0,87273750.0
4665,Volkswagen Vento Petrol Highline,2011,66000,Petrol,Manual,Second,15.04 kmpl,1598 CC,103.6 bhp,5.0,87273750.0
4666,Maruti Ertiga VXI,2012,25000,Petrol,Manual,First,16.02 kmpl,1373 CC,93.7 bhp,7.0,109862250.0
4667,Hyundai Grand i10 AT Asta,2016,36139,Petrol,Automatic,Second,18.9 kmpl,1197 CC,82 bhp,5.0,129370500.0
4668,Hyundai Creta 1.6 CRDi SX,2017,44000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,256687500.0
4675,Hyundai i10 Magna,2010,55980,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,46203750.0
4677,Hyundai i20 Sportz 1.4 CRDi,2012,49700,Diesel,Manual,Second,21.9 kmpl,1396 CC,88.76 bhp,5.0,85836300.0
4679,Honda City 1.5 V MT,2010,65100,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,64685250.0
4680,Maruti Ertiga VDI,2016,54161,Diesel,Manual,First,25.47 kmpl,1248 CC,88.50 bhp,7.0,156887400.0
4684,Maruti Alto LXi BSIII,2011,64000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,49078650.0
4693,Maruti Swift VDI,2013,35000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,95487750.0
4703,Honda Amaze S i-Vtech,2014,41210,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5.0,90354000.0
4706,Toyota Innova Crysta 2.8 ZX AT,2016,80000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,400432500.0
4707,Hyundai Grand i10 AT Asta,2016,21000,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5.0,127317000.0
4710,Hyundai i20 Magna,2010,95000,Petrol,Manual,Second,18.5 kmpl,1197 CC,80 bhp,5.0,57498000.0
4711,Hyundai Grand i10 AT Asta,2015,32000,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5.0,98568000.0
4715,Maruti Swift Dzire VDI,2015,69000,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,121156500.0
4720,Hyundai Accent GLE,2012,56000,Petrol,Manual,First,13.2 kmpl,1495 CC,94 bhp,5.0,50310750.0
4721,Maruti Alto 800 LXI,2013,30000,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5.0,51337500.0
4723,Ford Ecosport 1.5 DV5 MT Titanium Optional,2013,92250,Diesel,Manual,Second,22.7 kmpl,1498 CC,89.84 bhp,5.0,118076250.0
4727,Mahindra XUV500 W8 2WD,2013,55886,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,148878750.0
4734,Volkswagen Vento 1.5 TDI Highline,2011,121311,Diesel,Manual,First,20.64 kmpl,1498 CC,108.5 bhp,5.0,59551500.0
4740,Honda Amaze S i-Dtech,2013,61510,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,97541250.0
4745,Skoda Superb Elegance 1.8 TSI AT,2014,65000,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5.0,245393250.0
4746,Maruti Wagon R LXI BS IV,2011,68000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,51337500.0
4752,Ford Figo Diesel EXI,2013,54000,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5.0,52364250.0
4754,Maruti Alto 800 LXI,2015,21652,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5.0,61810349.99999999
4761,Maruti Wagon R LXI,2004,62000,Petrol,Manual,Second,18.9 kmpl,998 CC,67.1 bhp,5.0,25668750.0
4762,Hyundai Creta 1.6 CRDi SX Option,2015,78046,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,223831500.0
4764,Hyundai EON D Lite Plus,2016,64624,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,76184850.0
4765,Maruti Ertiga VXI,2014,69192,Petrol,Manual,First,16.02 kmpl,1373 CC,93.7 bhp,7.0,128343750.0
4766,Volkswagen Vento Diesel Highline,2012,55000,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5.0,100621500.0
4772,Maruti Swift VDI,2014,47000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,80086500.0
4775,Hyundai Grand i10 Asta Option,2017,31576,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,161199750.0
4776,Volkswagen Vento Petrol Highline,2011,66000,Petrol,Manual,First,15.04 kmpl,1598 CC,103.6 bhp,5.0,60578250.0
4783,Renault Duster 85PS Diesel RxL,2013,66314,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,5.0,112942500.0
4786,Ford Figo Diesel ZXI,2011,30000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,65712000.0
4792,Toyota Fortuner 3.0 Diesel,2010,242000,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,225885000.0
4795,BMW 3 Series Luxury Line,2018,21936,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5.0,778687200.0
4802,Hyundai i10 Magna,2011,41000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,54417750.0
4803,Hyundai Verna 1.6 SX CRDi (O),2013,69573,Diesel,Manual,Second,22.32 kmpl,1582 CC,126.32 bhp,5.0,120129750.0
4805,Mahindra XUV500 W8 2WD,2012,47629,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,133477500.0
4808,Maruti Swift VDI,2012,94868,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,92407500.0
4812,Renault Duster 110PS Diesel RxZ,2013,45348,Diesel,Manual,Second,19.01 kmpl,1461 CC,108.45 bhp,5.0,140664750.0
4817,Hyundai Elantra CRDi SX,2019,41871,Diesel,Manual,First,22.7 kmpl,1582 CC,126.2 bhp,5.0,319729950.0
4823,Volkswagen Polo Petrol Comfortline 1.2L,2012,64806,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5.0,74952750.0
4826,Maruti Alto K10 VXI,2015,23876,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,71051100.0
4829,Honda Amaze S i-Dtech,2014,71000,Diesel,Manual,Second,25.8 kmpl,1498 CC,98.6 bhp,5.0,92407500.0
4831,Maruti Swift VDI,2014,25000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,81113250.0
4836,Maruti Swift Dzire VXi,2009,65000,Petrol,Manual,Second,17.5 kmpl,1298 CC,85.8 bhp,5.0,63658500.0
4838,Honda Brio S MT,2015,36695,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,88095150.0
4841,BMW 3 Series 320d,2011,89000,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5.0,286463250.0
4842,Volkswagen Polo 1.2 MPI Highline,2014,7000,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5.0,109862250.0
4846,Audi A4 2.0 TDI,2013,52000,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5.0,400432500.0
4847,Honda Brio S MT,2013,32807,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,56471250.0
4850,BMW X1 sDrive20d,2012,94000,Diesel,Automatic,First,17.05 kmpl,1995 CC,184 bhp,5.0,256687500.0
4852,Ford Figo Diesel EXI,2010,107389,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,5.0,39016500.0
4853,Maruti Swift VXI BSIV,2015,36100,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5.0,92407500.0
4854,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2015,16329,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5.0,622210500.0
4857,Hyundai EON Era Plus,2015,54680,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,51337500.0
4860,Maruti Alto K10 2010-2014 VXI,2013,30131,Petrol,Manual,First,20.92 kmpl,998 CC,67.1 bhp,5.0,54417750.0
4865,Honda Amaze S i-Dtech,2016,46983,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,118486949.99999999
4868,Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,88000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,333693750.0
4870,Mahindra XUV500 W8 2WD,2011,128000,Diesel,Manual,Third,16.0 kmpl,2179 CC,140 bhp,7.0,131424000.0
4878,Hyundai i20 Sportz 1.2,2016,16725,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,139432650.0
4880,Maruti Wagon R LXI,2014,52431,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5.0,61810349.99999999
4881,Hyundai i20 Sportz 1.4 CRDi,2012,68000,Diesel,Manual,First,21.9 kmpl,1396 CC,88.76 bhp,5.0,90354000.0
4882,Toyota Fortuner 4x2 AT,2012,158000,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,359157149.99999994
4883,Hyundai i10 Sportz,2014,31446,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,95693100.0
4884,Hyundai Grand i10 Asta,2015,25000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,112942500.0
4885,Hyundai i20 Asta 1.2,2016,57000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,123210000.0
4888,Honda Amaze S i-Dtech,2016,47471,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,107808750.0
4891,Hyundai i10 Era,2013,65807,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5.0,69613650.0
4892,Maruti Swift Dzire VDI,2014,81768,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,116844150.00000001
4897,Ford Figo Diesel Titanium,2014,33000,Diesel,Manual,Second,20.0 kmpl,1399 CC,68.05 bhp,5.0,66738750.0
4898,Maruti Celerio VXI AT,2016,36789,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5.0,87273750.0
4901,Honda Brio S MT,2015,46650,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,87273750.0
4910,Volkswagen Vento Diesel Highline,2013,75000,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5.0,92407500.0
4911,Honda City V MT,2012,69000,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,100621500.0
4912,Hyundai Creta 1.6 CRDi SX Option,2016,52553,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,251759100.0
4915,Ford Figo Diesel EXI,2015,65542,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,78033000.0
4919,Hyundai Verna 1.6 SX VTVT (O),2017,19387,Petrol,Manual,First,17.1 kmpl,1591 CC,121.3 bhp,5.0,172904700.0
4920,Maruti Wagon R LXI CNG,2014,58000,CNG,Manual,First,26.6 km/kg,998 CC,58.16 bhp,5.0,61605000.0
4921,Hyundai i20 Sportz 1.2,2016,24001,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,118076250.0
4928,Maruti Swift Dzire VDI,2015,58000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,107808750.0
4930,Hyundai Grand i10 CRDi Sportz,2017,60993,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5.0,106987350.0
4932,Hyundai Grand i10 CRDi Sportz,2014,51134,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5.0,96925200.0
4940,Chevrolet Cruze LTZ,2012,62005,Diesel,Manual,First,18.3 kmpl,1991 CC,147.9 bhp,5.0,201243000.0
4944,Maruti Swift Dzire VDI,2014,197000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,102675000.0
4945,Toyota Fortuner 3.0 Diesel,2009,138205,Diesel,Manual,Second,11.5 kmpl,2982 CC,171 bhp,7.0,215617500.0
4946,Maruti Swift VDI,2012,160000,Diesel,Manual,Second,22.9 kmpl,1248 CC,74 bhp,5.0,80086500.0
4951,Hyundai i10 Sportz,2009,48000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,43328850.0
4953,Maruti Alto LXi,2011,100000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,30802500.0
4954,Toyota Etios Liva GD,2013,62601,Diesel,Manual,First,23.59 kmpl,1364 CC,null bhp,5.0,95898450.0
4955,Maruti Swift VXI BSIV,2006,80010,Petrol,Manual,Second,20.4 kmpl,1197 CC,81.80 bhp,5.0,58524750.0
4956,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2017,26493,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5.0,690797400.0
4960,Volkswagen Polo Petrol Comfortline 1.2L,2013,38000,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5.0,57498000.0
4972,Honda City i VTEC CVT VX,2016,25000,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,194055750.0
4976,Ford Ecosport 1.5 DV5 MT Titanium,2014,93321,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,128343750.0
4977,Maruti Alto K10 2010-2014 VXI,2011,81000,Petrol,Manual,First,20.92 kmpl,998 CC,67.1 bhp,5.0,45177000.0
4979,Mahindra XUV500 W6 2WD,2015,37000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,190975500.0
4983,Volkswagen Polo Petrol Highline 1.2L,2013,65088,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5.0,66738750.0
4985,Chevrolet Beat LS,2011,64831,Petrol,Manual,First,18.6 kmpl,1199 CC,79.4 bhp,5.0,65917350.0
4986,Honda Amaze VX i-DTEC,2013,38001,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,80086500.0
4990,Maruti Swift Dzire VDI,2015,131000,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,73926000.0
4991,Maruti Swift Dzire VDI,2015,43000,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,112942500.0
4992,Toyota Innova 2.5 V Diesel 7-seater,2011,68000,Diesel,Manual,Second,12.8 kmpl,2494 CC,102 bhp,7.0,143745000.0
4995,Mahindra XUV500 W8 2WD,2014,86091,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,207198150.0
4996,Honda City 1.5 S MT,2009,71499,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,61605000.0
5003,Hyundai i20 1.2 Magna,2010,57500,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,56471250.0
5007,Maruti Swift VDI BSIV,2013,87192,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,89327250.0
5011,Honda City i VTEC CVT VX,2018,34696,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,248062800.0
5013,Hyundai Grand i10 CRDi Sportz,2016,57824,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5.0,112942500.0
5014,Maruti Swift Dzire VDi,2011,110000,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,5.0,71872500.0
5017,Toyota Fortuner 3.0 Diesel,2013,63455,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,390165000.0
5020,Maruti Swift Dzire VDI,2014,42109,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,87273750.0
5023,Maruti Alto 800 LXI,2013,30852,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5.0,51132150.00000001
5024,Volkswagen Polo Petrol Highline 1.2L,2011,65000,Petrol,Manual,Second,16.47 kmpl,1198 CC,73.9 bhp,5.0,61605000.0
5025,Honda City i DTEC SV,2015,65000,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5.0,122183250.0
5026,Maruti Swift Dzire LDI,2013,72000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,55239150.0
5031,Renault Duster 110PS Diesel RxL,2015,83090,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,164074650.0
5034,Honda City ZX GXi,2006,44000,Petrol,Manual,First,17.7 kmpl,1497 CC,78 bhp,5.0,31829250.0
5037,Hyundai i10 Sportz 1.2,2015,18000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,58524750.0
5044,Toyota Fortuner 3.0 Diesel,2010,136000,Diesel,Manual,Second,11.5 kmpl,2982 CC,171 bhp,7.0,225885000.0
5045,Toyota Fortuner 3.0 Diesel,2010,144113,Diesel,Manual,Second,11.5 kmpl,2982 CC,171 bhp,7.0,241286250.0
5047,Maruti Swift ZDi,2012,58133,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,98568000.0
5053,Toyota Fortuner 3.0 Diesel,2011,86000,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,236152500.0
5055,Hyundai EON Era Plus,2015,30158,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,62631750.0
5059,Maruti Vitara Brezza ZDi,2017,58829,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,185841750.0
5060,Honda Brio S MT,2013,67559,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,83166750.0
5061,Maruti Swift Dzire VXi,2013,55000,Petrol,Manual,First,17.5 kmpl,1298 CC,85.8 bhp,5.0,87273750.0
5063,Hyundai Creta 1.6 SX Plus Petrol Automatic,2016,28000,Petrol,Automatic,First,13.0 kmpl,1591 CC,121.3 bhp,5.0,243339750.0
5064,Ford Ecosport 1.5 DV5 MT Titanium,2016,31826,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,169208400.0
5068,Mahindra XUV500 W8 2WD,2014,74345,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,164280000.0
5069,Volkswagen Polo 1.2 MPI Highline,2015,58134,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5.0,95282400.0
5071,Hyundai i10 Magna 1.2,2012,55231,Petrol,Manual,Second,20.36 kmpl,1197 CC,78.9 bhp,5.0,57087299.99999999
5076,Volkswagen Polo Diesel Trendline 1.2L,2013,45000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,66738750.0
5077,Honda City i VTEC SV,2014,10500,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5.0,121156500.0
5078,Maruti Vitara Brezza ZDi,2017,21789,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,202885800.00000003
5084,Hyundai Verna 1.6 SX,2015,60519,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,128138400.0
5085,Maruti Swift Dzire VDi,2009,34000,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,5.0,44971650.0
5087,Maruti Alto K10 VXI,2014,17000,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,43123500.0
5089,Mercedes-Benz New C-Class 220 CDI AT,2012,22000,Diesel,Automatic,First,14.84 kmpl,2143 CC,170 bhp,5.0,287490000.0
5092,Maruti Swift VXI BSIV,2014,61922,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5.0,108835500.0
5095,Toyota Fortuner 4x2 Manual,2013,65000,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7.0,330613500.0
5098,Maruti Alto 800 2016-2019 LXI,2016,35000,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5.0,54417750.0
5099,Maruti Alto K10 2010-2014 VXI,2012,65349,Petrol,Manual,First,20.92 kmpl,998 CC,67.1 bhp,5.0,57703350.0
